No,Year,Holy Monday,Diff Next Year,Shift Day,Total Diff,Total Year,Next Holy Monday
1,2024,"Monday, March 25, 2024",21,-1,20,365,"Monday, April 14, 2025"
2,2025,"Monday, April 14, 2025",-14,-1,-15,365,"Monday, March 30, 2026"
3,2026,"Monday, March 30, 2026",-7,-1,-8,365,"Monday, March 22, 2027"
4,2027,"Monday, March 22, 2027",21,-2,19,366,"Monday, April 10, 2028"
5,2028,"Monday, April 10, 2028",-14,-1,-15,365,"Monday, March 26, 2029"
6,2029,"Monday, March 26, 2029",21,-1,20,365,"Monday, April 15, 2030"
7,2030,"Monday, April 15, 2030",-7,-1,-8,365,"Monday, April 7, 2031"
8,2031,"Monday, April 7, 2031",-14,-2,-16,366,"Monday, March 22, 2032"
9,2032,"Monday, March 22, 2032",21,-1,20,365,"Monday, April 11, 2033"
10,2033,"Monday, April 11, 2033",-7,-1,-8,365,"Monday, April 3, 2034"
11,2034,"Monday, April 3, 2034",-14,-1,-15,365,"Monday, March 19, 2035"
12,2035,"Monday, March 19, 2035",21,-2,19,366,"Monday, April 7, 2036"
13,2036,"Monday, April 7, 2036",-7,-1,-8,365,"Monday, March 30, 2037"
14,2037,"Monday, March 30, 2037",21,-1,20,365,"Monday, April 19, 2038"
15,2038,"Monday, April 19, 2038",-14,-1,-15,365,"Monday, April 4, 2039"
16,2039,"Monday, April 4, 2039",-7,-2,-9,366,"Monday, March 26, 2040"
17,2040,"Monday, March 26, 2040",21,-1,20,365,"Monday, April 15, 2041"
18,2041,"Monday, April 15, 2041",-14,-1,-15,365,"Monday, March 31, 2042"
19,2042,"Monday, March 31, 2042",-7,-1,-8,365,"Monday, March 23, 2043"
20,2043,"Monday, March 23, 2043",21,-2,19,366,"Monday, April 11, 2044"
21,2044,"Monday, April 11, 2044",-7,-1,-8,365,"Monday, April 3, 2045"
22,2045,"Monday, April 3, 2045",-14,-1,-15,365,"Monday, March 19, 2046"
23,2046,"Monday, March 19, 2046",21,-1,20,365,"Monday, April 8, 2047"
24,2047,"Monday, April 8, 2047",-7,-2,-9,366,"Monday, March 30, 2048"
25,2048,"Monday, March 30, 2048",14,-1,13,365,"Monday, April 12, 2049"
26,2049,"Monday, April 12, 2049",-7,-1,-8,365,"Monday, April 4, 2050"
27,2050,"Monday, April 4, 2050",-7,-1,-8,365,"Monday, March 27, 2051"
28,2051,"Monday, March 27, 2051",21,-2,19,366,"Monday, April 15, 2052"
29,2052,"Monday, April 15, 2052",-14,-1,-15,365,"Monday, March 31, 2053"
30,2053,"Monday, March 31, 2053",-7,-1,-8,365,"Monday, March 23, 2054"
31,2054,"Monday, March 23, 2054",21,-1,20,365,"Monday, April 12, 2055"
32,2055,"Monday, April 12, 2055",-14,-2,-16,366,"Monday, March 27, 2056"
33,2056,"Monday, March 27, 2056",21,-1,20,365,"Monday, April 16, 2057"
34,2057,"Monday, April 16, 2057",-7,-1,-8,365,"Monday, April 8, 2058"
35,2058,"Monday, April 8, 2058",-14,-1,-15,365,"Monday, March 24, 2059"
36,2059,"Monday, March 24, 2059",21,-2,19,366,"Monday, April 12, 2060"
37,2060,"Monday, April 12, 2060",-7,-1,-8,365,"Monday, April 4, 2061"
38,2061,"Monday, April 4, 2061",-7,-1,-8,365,"Monday, March 27, 2062"
39,2062,"Monday, March 27, 2062",21,-1,20,365,"Monday, April 16, 2063"
40,2063,"Monday, April 16, 2063",-14,-2,-16,366,"Monday, March 31, 2064"
41,2064,"Monday, March 31, 2064",-7,-1,-8,365,"Monday, March 23, 2065"
42,2065,"Monday, March 23, 2065",14,-1,13,365,"Monday, April 5, 2066"
43,2066,"Monday, April 5, 2066",-7,-1,-8,365,"Monday, March 28, 2067"
44,2067,"Monday, March 28, 2067",21,-2,19,366,"Monday, April 16, 2068"
45,2068,"Monday, April 16, 2068",-7,-1,-8,365,"Monday, April 8, 2069"
46,2069,"Monday, April 8, 2069",-14,-1,-15,365,"Monday, March 24, 2070"
47,2070,"Monday, March 24, 2070",21,-1,20,365,"Monday, April 13, 2071"
48,2071,"Monday, April 13, 2071",-7,-2,-9,366,"Monday, April 4, 2072"
49,2072,"Monday, April 4, 2072",-14,-1,-15,365,"Monday, March 20, 2073"
50,2073,"Monday, March 20, 2073",21,-1,20,365,"Monday, April 9, 2074"
51,2074,"Monday, April 9, 2074",-7,-1,-8,365,"Monday, April 1, 2075"
52,2075,"Monday, April 1, 2075",14,-2,12,366,"Monday, April 13, 2076"
53,2076,"Monday, April 13, 2076",-7,-1,-8,365,"Monday, April 5, 2077"
54,2077,"Monday, April 5, 2077",-7,-1,-8,365,"Monday, March 28, 2078"
55,2078,"Monday, March 28, 2078",21,-1,20,365,"Monday, April 17, 2079"
56,2079,"Monday, April 17, 2079",-14,-2,-16,366,"Monday, April 1, 2080"
57,2080,"Monday, April 1, 2080",-7,-1,-8,365,"Monday, March 24, 2081"
58,2081,"Monday, March 24, 2081",21,-1,20,365,"Monday, April 13, 2082"
59,2082,"Monday, April 13, 2082",-14,-1,-15,365,"Monday, March 29, 2083"
60,2083,"Monday, March 29, 2083",21,-2,19,366,"Monday, April 17, 2084"
61,2084,"Monday, April 17, 2084",-7,-1,-8,365,"Monday, April 9, 2085"
62,2085,"Monday, April 9, 2085",-14,-1,-15,365,"Monday, March 25, 2086"
63,2086,"Monday, March 25, 2086",21,-1,20,365,"Monday, April 14, 2087"
64,2087,"Monday, April 14, 2087",-7,-2,-9,366,"Monday, April 5, 2088"
65,2088,"Monday, April 5, 2088",-7,-1,-8,365,"Monday, March 28, 2089"
66,2089,"Monday, March 28, 2089",21,-1,20,365,"Monday, April 17, 2090"
67,2090,"Monday, April 17, 2090",-14,-1,-15,365,"Monday, April 2, 2091"
68,2091,"Monday, April 2, 2091",-7,-2,-9,366,"Monday, March 24, 2092"
69,2092,"Monday, March 24, 2092",14,-1,13,365,"Monday, April 6, 2093"
70,2093,"Monday, April 6, 2093",-7,-1,-8,365,"Monday, March 29, 2094"
71,2094,"Monday, March 29, 2094",21,-1,20,365,"Monday, April 18, 2095"
72,2095,"Monday, April 18, 2095",-7,-2,-9,366,"Monday, April 9, 2096"
73,2096,"Monday, April 9, 2096",-14,-1,-15,365,"Monday, March 25, 2097"
74,2097,"Monday, March 25, 2097",21,-1,20,365,"Monday, April 14, 2098"
75,2098,"Monday, April 14, 2098",-7,-1,-8,365,"Monday, April 6, 2099"
76,2099,"Monday, April 6, 2099",-14,-1,-15,365,"Monday, March 22, 2100"
