No,Year,Holy Wednesday,Diff Next Year,Shift Day,Total Diff,Total Year,Next Holy Wednesday
1,2024,"Wednesday, March 27, 2024",21,-1,20,365,"Wednesday, April 16, 2025"
2,2025,"Wednesday, April 16, 2025",-14,-1,-15,365,"Wednesday, April 1, 2026"
3,2026,"Wednesday, April 1, 2026",-7,-1,-8,365,"Wednesday, March 24, 2027"
4,2027,"Wednesday, March 24, 2027",21,-2,19,366,"Wednesday, April 12, 2028"
5,2028,"Wednesday, April 12, 2028",-14,-1,-15,365,"Wednesday, March 28, 2029"
6,2029,"Wednesday, March 28, 2029",21,-1,20,365,"Wednesday, April 17, 2030"
7,2030,"Wednesday, April 17, 2030",-7,-1,-8,365,"Wednesday, April 9, 2031"
8,2031,"Wednesday, April 9, 2031",-14,-2,-16,366,"Wednesday, March 24, 2032"
9,2032,"Wednesday, March 24, 2032",21,-1,20,365,"Wednesday, April 13, 2033"
10,2033,"Wednesday, April 13, 2033",-7,-1,-8,365,"Wednesday, April 5, 2034"
11,2034,"Wednesday, April 5, 2034",-14,-1,-15,365,"Wednesday, March 21, 2035"
12,2035,"Wednesday, March 21, 2035",21,-2,19,366,"Wednesday, April 9, 2036"
13,2036,"Wednesday, April 9, 2036",-7,-1,-8,365,"Wednesday, April 1, 2037"
14,2037,"Wednesday, April 1, 2037",21,-1,20,365,"Wednesday, April 21, 2038"
15,2038,"Wednesday, April 21, 2038",-14,-1,-15,365,"Wednesday, April 6, 2039"
16,2039,"Wednesday, April 6, 2039",-7,-2,-9,366,"Wednesday, March 28, 2040"
17,2040,"Wednesday, March 28, 2040",21,-1,20,365,"Wednesday, April 17, 2041"
18,2041,"Wednesday, April 17, 2041",-14,-1,-15,365,"Wednesday, April 2, 2042"
19,2042,"Wednesday, April 2, 2042",-7,-1,-8,365,"Wednesday, March 25, 2043"
20,2043,"Wednesday, March 25, 2043",21,-2,19,366,"Wednesday, April 13, 2044"
21,2044,"Wednesday, April 13, 2044",-7,-1,-8,365,"Wednesday, April 5, 2045"
22,2045,"Wednesday, April 5, 2045",-14,-1,-15,365,"Wednesday, March 21, 2046"
23,2046,"Wednesday, March 21, 2046",21,-1,20,365,"Wednesday, April 10, 2047"
24,2047,"Wednesday, April 10, 2047",-7,-2,-9,366,"Wednesday, April 1, 2048"
25,2048,"Wednesday, April 1, 2048",14,-1,13,365,"Wednesday, April 14, 2049"
26,2049,"Wednesday, April 14, 2049",-7,-1,-8,365,"Wednesday, April 6, 2050"
27,2050,"Wednesday, April 6, 2050",-7,-1,-8,365,"Wednesday, March 29, 2051"
28,2051,"Wednesday, March 29, 2051",21,-2,19,366,"Wednesday, April 17, 2052"
29,2052,"Wednesday, April 17, 2052",-14,-1,-15,365,"Wednesday, April 2, 2053"
30,2053,"Wednesday, April 2, 2053",-7,-1,-8,365,"Wednesday, March 25, 2054"
31,2054,"Wednesday, March 25, 2054",21,-1,20,365,"Wednesday, April 14, 2055"
32,2055,"Wednesday, April 14, 2055",-14,-2,-16,366,"Wednesday, March 29, 2056"
33,2056,"Wednesday, March 29, 2056",21,-1,20,365,"Wednesday, April 18, 2057"
34,2057,"Wednesday, April 18, 2057",-7,-1,-8,365,"Wednesday, April 10, 2058"
35,2058,"Wednesday, April 10, 2058",-14,-1,-15,365,"Wednesday, March 26, 2059"
36,2059,"Wednesday, March 26, 2059",21,-2,19,366,"Wednesday, April 14, 2060"
37,2060,"Wednesday, April 14, 2060",-7,-1,-8,365,"Wednesday, April 6, 2061"
38,2061,"Wednesday, April 6, 2061",-7,-1,-8,365,"Wednesday, March 29, 2062"
39,2062,"Wednesday, March 29, 2062",21,-1,20,365,"Wednesday, April 18, 2063"
40,2063,"Wednesday, April 18, 2063",-14,-2,-16,366,"Wednesday, April 2, 2064"
41,2064,"Wednesday, April 2, 2064",-7,-1,-8,365,"Wednesday, March 25, 2065"
42,2065,"Wednesday, March 25, 2065",14,-1,13,365,"Wednesday, April 7, 2066"
43,2066,"Wednesday, April 7, 2066",-7,-1,-8,365,"Wednesday, March 30, 2067"
44,2067,"Wednesday, March 30, 2067",21,-2,19,366,"Wednesday, April 18, 2068"
45,2068,"Wednesday, April 18, 2068",-7,-1,-8,365,"Wednesday, April 10, 2069"
46,2069,"Wednesday, April 10, 2069",-14,-1,-15,365,"Wednesday, March 26, 2070"
47,2070,"Wednesday, March 26, 2070",21,-1,20,365,"Wednesday, April 15, 2071"
48,2071,"Wednesday, April 15, 2071",-7,-2,-9,366,"Wednesday, April 6, 2072"
49,2072,"Wednesday, April 6, 2072",-14,-1,-15,365,"Wednesday, March 22, 2073"
50,2073,"Wednesday, March 22, 2073",21,-1,20,365,"Wednesday, April 11, 2074"
51,2074,"Wednesday, April 11, 2074",-7,-1,-8,365,"Wednesday, April 3, 2075"
52,2075,"Wednesday, April 3, 2075",14,-2,12,366,"Wednesday, April 15, 2076"
53,2076,"Wednesday, April 15, 2076",-7,-1,-8,365,"Wednesday, April 7, 2077"
54,2077,"Wednesday, April 7, 2077",-7,-1,-8,365,"Wednesday, March 30, 2078"
55,2078,"Wednesday, March 30, 2078",21,-1,20,365,"Wednesday, April 19, 2079"
56,2079,"Wednesday, April 19, 2079",-14,-2,-16,366,"Wednesday, April 3, 2080"
57,2080,"Wednesday, April 3, 2080",-7,-1,-8,365,"Wednesday, March 26, 2081"
58,2081,"Wednesday, March 26, 2081",21,-1,20,365,"Wednesday, April 15, 2082"
59,2082,"Wednesday, April 15, 2082",-14,-1,-15,365,"Wednesday, March 31, 2083"
60,2083,"Wednesday, March 31, 2083",21,-2,19,366,"Wednesday, April 19, 2084"
61,2084,"Wednesday, April 19, 2084",-7,-1,-8,365,"Wednesday, April 11, 2085"
62,2085,"Wednesday, April 11, 2085",-14,-1,-15,365,"Wednesday, March 27, 2086"
63,2086,"Wednesday, March 27, 2086",21,-1,20,365,"Wednesday, April 16, 2087"
64,2087,"Wednesday, April 16, 2087",-7,-2,-9,366,"Wednesday, April 7, 2088"
65,2088,"Wednesday, April 7, 2088",-7,-1,-8,365,"Wednesday, March 30, 2089"
66,2089,"Wednesday, March 30, 2089",21,-1,20,365,"Wednesday, April 19, 2090"
67,2090,"Wednesday, April 19, 2090",-14,-1,-15,365,"Wednesday, April 4, 2091"
68,2091,"Wednesday, April 4, 2091",-7,-2,-9,366,"Wednesday, March 26, 2092"
69,2092,"Wednesday, March 26, 2092",14,-1,13,365,"Wednesday, April 8, 2093"
70,2093,"Wednesday, April 8, 2093",-7,-1,-8,365,"Wednesday, March 31, 2094"
71,2094,"Wednesday, March 31, 2094",21,-1,20,365,"Wednesday, April 20, 2095"
72,2095,"Wednesday, April 20, 2095",-7,-2,-9,366,"Wednesday, April 11, 2096"
73,2096,"Wednesday, April 11, 2096",-14,-1,-15,365,"Wednesday, March 27, 2097"
74,2097,"Wednesday, March 27, 2097",21,-1,20,365,"Wednesday, April 16, 2098"
75,2098,"Wednesday, April 16, 2098",-7,-1,-8,365,"Wednesday, April 8, 2099"
76,2099,"Wednesday, April 8, 2099",-14,-1,-15,365,"Wednesday, March 24, 2100"
